iter	RMSE
0	0.5992886043
1	0.5789777367
2	0.5612351335
3	0.5454639267
4	0.5318565959
5	0.519737867
6	0.5095473992
7	0.500280143
8	0.4925811833
9	0.4853475733
10	0.4784408393
11	0.4725638002
12	0.4671251406
13	0.4626564458
14	0.4585883164
15	0.4546634345
16	0.4514979489
17	0.448343405
18	0.4441687911
19	0.4407800548
20	0.4362794169
21	0.4324497221
22	0.4293158846
23	0.4265651855
24	0.4242478693
25	0.4222082592
26	0.420524277
27	0.4189323917
28	0.4174339747
29	0.4161465079
30	0.4150772436
31	0.413774954
32	0.4128458911
33	0.411923384
34	0.4108802594
35	0.4099781268
36	0.4086129389
37	0.4079152147
38	0.4072526264
39	0.4060497459
40	0.4054806722
41	0.4044926604
42	0.4037173914
43	0.4031413043
44	0.4025727758
45	0.401978943
46	0.4013272166
47	0.4008079746
48	0.3999191684
49	0.3988364754
50	0.3982097027
51	0.3972900789
52	0.3969206373
53	0.3964993239
54	0.3960877214
55	0.3955716375
56	0.3951671979
57	0.3949342268
58	0.3944296627
59	0.3939951447
60	0.3932922091
61	0.3928024573
62	0.3920430919
63	0.3912797293
64	0.3908685148
65	0.3904364574
66	0.3902229958
67	0.3897595822
68	0.3893128436
69	0.3889848665
70	0.3883672079
71	0.3881755733
72	0.3877868106
73	0.3875859417
74	0.3872609691
75	0.3870021784
76	0.3867484664
77	0.3865034761
78	0.3863403551
79	0.3858948653
80	0.3857721003
81	0.385597882
82	0.3854674085
83	0.3852834819
84	0.3849985638
85	0.3846987211
86	0.3843516868
87	0.3836717996
88	0.3835473898
89	0.383331073
90	0.3831261318
91	0.3827000534
92	0.3821965493
93	0.3819450203
94	0.3816732218
95	0.3815399517
96	0.3811346378
97	0.3808594851
98	0.3806166746
99	0.3802636726
100	0.3800617814
101	0.3799213724
102	0.3798186702
103	0.3796125891
104	0.3792551107
105	0.3790674999
106	0.3789051009
107	0.3785209959
108	0.3783940883
109	0.3780321161
110	0.377716186
111	0.37756563
112	0.3774625546
113	0.3772462227
114	0.3770801978
115	0.3769759004
116	0.3766356757
117	0.3762434214
118	0.3759334902
119	0.375653638
120	0.3752447513
121	0.3750846344
122	0.3749368672
123	0.3746196076
124	0.3743036747
125	0.3741284275
126	0.3739448476
127	0.3735344285
128	0.373374441
129	0.3731295806
130	0.3729778695
131	0.3727595861
132	0.372579417
133	0.3724230035
134	0.3722796918
135	0.3721406743
136	0.3717457284
137	0.3714452712
138	0.3712086701
139	0.3711283861
140	0.3708285537
141	0.3705550924
142	0.3704350414
143	0.3702635614
144	0.3701270648
145	0.3699452934
146	0.369779055
147	0.369664488
148	0.3692123155
149	0.3689712824
150	0.3687765004
151	0.3685298018
152	0.36835998
153	0.3682398757
154	0.3680221431
155	0.3677443157
156	0.367661685
157	0.3674079309
158	0.3669194422
159	0.3668192176
160	0.3666308146
161	0.3665294551
162	0.3664270625
163	0.366268185
164	0.3662152234
165	0.3661425187
166	0.3658797307
167	0.3657697955
168	0.3657099384
169	0.3656212439
170	0.3655243859
171	0.3653141411
172	0.365163005
173	0.3650382556
174	0.3649491196
175	0.3648433691
176	0.3646163482
177	0.3645632695
178	0.3644219466
179	0.3643229968
180	0.3642356074
181	0.3641145435
182	0.3639274218
183	0.363828238
184	0.3637663443
185	0.3636538987
186	0.3634540201
187	0.3631332598
188	0.3628042685
189	0.3626964038
190	0.362560003
191	0.3624903802
192	0.3624266107
193	0.3622911617
194	0.3622177401
195	0.3620811236
196	0.3618761336
197	0.3617395415
198	0.3614966104
199	0.3613699896
200	0.3612583146
201	0.361147731
202	0.3609236316
203	0.3608136486
204	0.3605761201
205	0.3605252805
206	0.3604249788
207	0.3602868446
208	0.3601798358
209	0.3600572801
210	0.3599769954
211	0.3598694267
212	0.3597359516
213	0.3595777182
214	0.3593275299
215	0.3591984612
216	0.3590068317
217	0.3587523793
218	0.3586690437
219	0.3585812144
220	0.3584616872
221	0.3582927644
222	0.3582226935
223	0.3581492336
224	0.3580598729
225	0.3579459582
226	0.3577369584
227	0.3575544708
228	0.3574892556
229	0.3573347172
230	0.3572057662
231	0.3570068233
232	0.3568722608
233	0.3568230763
234	0.3567384822
235	0.3564758449
236	0.3563411837
237	0.3562264386
238	0.3561685227
239	0.3559666499
240	0.3558705204
241	0.3557994228
242	0.3557110207
243	0.3556324507
244	0.3554917092
245	0.3553526687
246	0.355290365
247	0.3551529509
248	0.3550660847
249	0.3548711706
250	0.3547444669
251	0.3546096847
252	0.3545542601
253	0.3544642798
254	0.3544085415
255	0.3542900792
256	0.3542407164
257	0.3541426072
258	0.3539925494
259	0.3539215586
260	0.35386846
261	0.3537560871
262	0.3536918796
263	0.3535280981
264	0.3534706784
265	0.3534223168
266	0.3533705076
267	0.3531223832
268	0.3530188371
269	0.3528621151
270	0.352817707
271	0.3527233958
272	0.352690819
273	0.3525477344
274	0.3524285022
275	0.3523303385
276	0.352206783
277	0.35211428
278	0.3520710302
279	0.3520063742
280	0.3519441109
281	0.3518892492
282	0.3517905265
283	0.3517127531
284	0.351632524
285	0.3515593115
286	0.3514601109
287	0.351408885
288	0.3513229427
289	0.351239739
290	0.3511774882
291	0.3511003333
292	0.3510270604
293	0.3509789661
294	0.350882573
295	0.3507680516
296	0.3506860858
297	0.3504976836
298	0.3503835772
299	0.3502711557
300	0.3502139935
301	0.3501248813
302	0.3500162535
303	0.3499458711
304	0.349837517
305	0.3497509248
306	0.3496821825
307	0.3496304248
308	0.3495683546
309	0.3494923255
310	0.349358815
311	0.3492932972
312	0.3491446684
313	0.3490844856
314	0.3490022942
315	0.3489181742
316	0.3488150142
317	0.3487129256
318	0.3486208893
319	0.3485637875
320	0.3484777353
321	0.3484019175
322	0.3483459002
323	0.3482425337
324	0.3481921169
325	0.3481204895
326	0.3480218661
327	0.3479000456
328	0.3478154145
329	0.3477499036
330	0.3477008988
331	0.3475990441
332	0.3475510101
333	0.3475006667
334	0.34736745
335	0.3473068013
336	0.347253342
337	0.3471899795
338	0.3471352963
339	0.3470769012
340	0.3469981595
341	0.3467949444
342	0.3467397821
343	0.3466732409
344	0.3466188203
345	0.3465433816
346	0.3464722327
347	0.346368826
348	0.346330037
349	0.3462867373
350	0.3462458376
351	0.3461645734
352	0.3460819949
353	0.3460326672
354	0.3459426001
355	0.3458826537
356	0.3458188809
357	0.3457155306
358	0.3455875229
359	0.3455412734
360	0.3454512081
361	0.3453311215
362	0.3452522623
363	0.3451615908
364	0.3450846504
365	0.3449997564
366	0.3449480535
367	0.3448642193
368	0.3447756994
369	0.34463378
370	0.3445942529
371	0.3445111047
372	0.3444499372
373	0.3441686254
374	0.344104176
375	0.3440210479
376	0.3439945141
377	0.3439402043
378	0.3438575673
379	0.3437931641
380	0.3437411715
381	0.3436665372
382	0.3436295424
383	0.3435693988
384	0.3435209887
385	0.3434267229
386	0.3433746261
387	0.3432984701
388	0.3432438718
389	0.3431678502
390	0.3431285795
391	0.3430779392
392	0.3429886222
393	0.3428602173
394	0.3427737189
395	0.3427114425
396	0.3425335565
397	0.3424709096
398	0.342432017
399	0.34238446
400	0.3423385448
401	0.3422615062
402	0.342196551
403	0.3421647046
404	0.3421175606
405	0.3420540607
406	0.3420180238
407	0.3419393838
408	0.3418609201
409	0.3418024559
410	0.3417450891
411	0.3416851854
412	0.3416270699
413	0.3415864716
414	0.3415492475
415	0.3415140221
416	0.3414507764
417	0.3414028137
418	0.3413257064
419	0.3413189069
420	0.3412563449
421	0.3412150011
422	0.3411843779
423	0.3410958925
424	0.3409636747
425	0.34091067
426	0.3408635033
427	0.3408063872
428	0.3407580355
429	0.3407152301
430	0.3406772409
431	0.3406074226
432	0.3405472122
433	0.3405164119
434	0.3404568822
435	0.3404100929
436	0.3403626312
437	0.3403264952
438	0.3402307916
439	0.3401624502
440	0.3400998482
441	0.3400696436
442	0.3400333222
443	0.3399784741
444	0.339900697
445	0.3398348891
446	0.3397805985
447	0.3397280075
448	0.3395777654
449	0.3395254698
450	0.3394881142
451	0.3394293141
452	0.3393814701
453	0.3393010175
454	0.3392587387
455	0.3392194817
456	0.3391847739
457	0.339141422
458	0.339111724
459	0.3390826712
460	0.3390493552
461	0.3389969141
462	0.3389511667
463	0.3388698192
464	0.338819524
465	0.3387722523
466	0.3387403203
467	0.3387100488
468	0.3386756678
469	0.33863823
470	0.338564729
471	0.3385230691
472	0.3385007327
473	0.3384544476
474	0.3384217238
475	0.3383711333
476	0.3383041664
477	0.3382826655
478	0.3382247278
479	0.3381931857
480	0.3381131968
481	0.3380838893
482	0.338059906
483	0.3380172366
484	0.3379884566
485	0.3379425855
486	0.3378856871
487	0.3378380828
488	0.337791583
489	0.3377100935
490	0.3376742448
491	0.3376058287
492	0.3375128678
493	0.3374699442
494	0.3374279403
495	0.3373033542
496	0.337177788
497	0.3370885471
498	0.337035007
499	0.3369884303
500	0.336938756
501	0.3368654686
502	0.3368076672
503	0.3367732356
504	0.3367471847
505	0.3366936676
506	0.3366706874
507	0.3366131388
508	0.3365419259
509	0.3365058812
510	0.3364697909
511	0.3364244169
512	0.3363754884
513	0.3363078448
514	0.3362669687
515	0.3361929791
516	0.3361496485
517	0.3361247347
518	0.3360587461
519	0.3360030356
520	0.3359616205
521	0.3359063637
522	0.3358460362
523	0.3357030068
524	0.3356740979
525	0.3356291036
526	0.3356060154
527	0.3355552049
528	0.335474333
529	0.3354192202
530	0.3353378142
531	0.3352662924
532	0.3351532344
533	0.3351200916
534	0.334976178
535	0.3349357047
536	0.3348729398
537	0.3348184619
538	0.3347881779
539	0.3347482375
540	0.334693894
