iter	Passed	Remaining
0	248	222867
1	321	144313
2	435	130110
3	541	121093
4	637	113927
5	746	111118
6	861	109780
7	948	105676
8	1027	101573
9	1124	99940
10	1224	98834
11	1320	97596
12	1393	95001
13	1481	93672
14	1617	95337
15	1728	95418
16	1843	95657
17	1949	95430
18	2093	96974
19	2223	97718
20	2357	98574
21	2408	96017
22	2460	93728
23	2531	92283
24	2581	90232
25	2635	88500
26	2715	87703
27	2772	86248
28	2877	86330
29	2948	85409
30	3074	86099
31	3206	86882
32	3276	85979
33	3370	85753
34	3458	85370
35	3571	85616
36	3702	86263
37	3812	86379
38	3911	86258
39	4038	86731
40	4192	87742
41	4342	88600
42	4469	88983
43	4604	89482
44	4714	89470
45	4852	89980
46	4941	89578
47	5061	89744
48	5205	90301
49	5320	90336
50	5464	90860
51	5601	91240
52	5741	91642
53	5846	91494
54	6024	92441
55	6180	93039
56	6321	93381
57	6452	93554
58	6584	93740
59	6716	93922
60	6834	93887
61	6961	93976
62	7091	94101
63	7229	94327
64	7367	94524
65	7500	94664
66	7602	94403
67	7731	94483
68	7871	94691
69	7981	94528
70	8111	94594
71	8238	94627
72	8368	94684
73	8535	95164
74	8673	95290
75	8808	95391
76	8936	95398
77	9065	95424
78	9199	95485
79	9338	95602
80	9452	95461
81	9590	95552
82	9679	95161
83	9797	95057
84	9915	94958
85	10058	95085
86	10157	94804
87	10289	94822
88	10360	94290
89	10468	94097
90	10595	94081
91	10730	94129
92	10870	94209
93	11040	94552
94	11138	94268
95	11268	94252
96	11410	94338
97	11531	94253
98	11670	94308
99	11797	94258
100	11953	94446
101	12061	94243
102	12175	94092
103	12326	94225
104	12451	94156
105	12566	94008
106	12696	93976
107	12826	93945
108	12926	93687
109	13056	93651
110	13183	93591
111	13327	93648
112	13404	93238
113	13511	93037
114	13596	92689
115	13728	92666
116	13850	92572
117	13994	92627
118	14096	92397
119	14210	92248
120	14348	92258
121	14448	92019
122	14550	91797
123	14688	91802
124	14786	91557
125	14914	91498
126	15023	91324
127	15142	91207
128	15234	90935
129	15355	90832
130	15494	90840
131	15605	90675
132	15766	90803
133	15858	90534
134	15978	90425
135	16121	90444
136	16270	90496
137	16410	90493
138	16534	90402
139	16644	90235
140	16777	90193
141	16916	90183
142	17081	90302
143	17191	90134
144	17306	89992
145	17420	89849
146	17571	89890
147	17712	89880
148	17853	89869
149	17978	89772
150	18117	89747
151	18246	89670
152	18358	89511
153	18453	89271
154	18581	89193
155	18721	89165
156	18810	88901
157	18873	88514
158	18962	88253
159	19090	88172
160	19222	88112
161	19329	87936
162	19417	87675
163	19486	87330
164	19587	87136
165	19666	86839
166	19807	86820
167	19937	86752
168	20022	86488
169	20113	86252
170	20236	86152
171	20342	85981
172	20437	85766
173	20550	85628
174	20663	85489
175	20826	85554
176	20977	85569
177	21064	85324
178	21184	85211
179	21314	85139
180	21426	84997
181	21538	84851
182	21659	84745
183	21783	84646
184	21859	84365
185	21997	84323
186	22110	84185
187	22224	84049
188	22353	83971
189	22457	83800
190	22625	83867
191	22777	83874
192	22928	83873
193	23047	83753
194	23122	83478
195	23221	83289
196	23376	83302
197	23550	83378
198	23673	83274
199	23776	83098
200	23873	82903
201	24035	82934
202	24162	82843
203	24280	82719
204	24382	82543
205	24466	82308
206	24578	82166
207	24676	81978
208	24787	81835
209	24908	81722
210	24988	81480
211	25120	81403
212	25249	81320
213	25409	81334
214	25546	81274
215	25711	81300
216	25838	81207
217	25925	80988
218	26018	80787
219	26159	80737
220	26299	80683
221	26433	80611
222	26579	80573
223	26762	80646
224	26870	80492
225	27032	80499
226	27190	80492
227	27401	80641
228	27534	80559
229	27671	80488
230	27832	80485
231	28000	80501
232	28203	80615
233	28398	80705
234	28810	81405
235	29334	82410
236	29783	83192
237	30011	83350
238	30146	83249
239	30288	83167
240	30435	83098
241	30556	82957
242	30701	82880
243	30835	82776
244	30985	82712
245	31148	82683
246	31294	82606
247	31458	82577
248	31604	82502
249	31748	82419
250	31915	82394
251	32092	82396
252	32220	82270
253	32352	82154
254	32506	82094
255	32649	82005
256	32810	81961
257	32938	81835
258	33068	81713
259	33187	81565
260	33676	82320
261	33854	82311
262	33990	82197
263	34143	82125
264	34276	82004
265	34427	81926
266	34573	81836
267	34749	81815
268	34912	81765
269	35042	81636
270	35151	81458
271	35258	81276
272	35398	81169
273	35577	81153
274	35724	81062
275	35816	80845
276	35947	80718
277	36102	80646
278	36231	80515
279	36357	80375
280	36503	80282
281	36605	80090
282	36747	79986
283	36872	79847
284	37009	79732
285	37176	79682
286	37324	79591
287	37469	79492
288	37652	79473
289	37856	79499
290	37992	79378
291	38174	79356
292	38316	79247
293	38431	79084
294	38555	78940
295	38726	78891
296	38885	78818
297	39057	78771
298	39233	78728
299	39387	78642
300	39494	78464
301	39659	78399
302	39812	78311
303	39924	78141
304	40055	78010
305	40168	77843
306	40290	77693
307	40456	77629
308	40611	77542
309	40714	77356
310	40846	77227
311	41004	77145
312	41172	77082
313	41301	76946
314	41435	76819
315	41548	76654
316	41681	76525
317	41812	76393
318	41929	76235
319	42042	76070
320	42188	75965
321	42312	75820
322	42438	75680
323	42619	75636
324	42754	75511
325	42893	75392
326	43043	75293
327	43169	75151
328	43295	75010
329	43470	74953
330	43636	74880
331	43786	74779
332	43938	74682
333	44087	74579
334	44241	74483
335	44361	74332
336	44506	74222
337	44670	74142
338	44826	74049
339	44995	73977
340	45143	73870
341	45290	73763
342	45435	73650
343	45587	73550
344	45706	73395
345	45856	73290
346	45973	73133
347	46114	73014
348	46263	72908
349	46405	72790
350	46549	72675
351	46689	72554
352	46837	72446
353	46938	72264
354	47116	72201
355	47297	72141
356	47466	72064
357	47605	71940
358	47763	71844
359	47922	71750
360	48079	71653
361	48219	71530
362	48392	71455
363	48529	71327
364	48694	71240
365	48837	71121
366	49016	71053
367	49148	70918
368	49291	70798
369	49413	70648
370	49617	70614
371	49749	70478
372	49896	70363
373	50049	70256
374	50463	70513
375	50715	70542
376	50840	70394
377	50975	70259
378	51211	70263
379	51352	70137
380	51499	70018
381	51663	69921
382	51830	69829
383	51972	69702
384	52079	69529
385	52243	69432
386	52405	69332
387	52519	69168
388	52686	69074
389	52885	69021
390	52989	68846
391	53088	68662
392	53242	68551
393	53420	68469
394	53564	68345
395	53742	68264
396	53913	68173
397	54102	68103
398	54268	68005
399	54451	67928
400	54566	67765
401	54738	67673
402	54927	67602
403	55030	67425
404	55181	67307
405	55319	67173
406	55468	67053
407	55622	66937
408	55797	66847
409	55929	66706
410	56088	66596
411	56207	66439
412	56360	66323
413	56532	66227
414	56635	66051
415	56790	65936
416	56900	65770
417	57030	65626
418	57175	65499
419	57236	65277
420	57374	65142
421	57530	65028
422	57679	64906
423	57826	64782
424	58000	64687
425	58176	64595
426	58312	64458
427	58465	64339
428	58624	64227
429	58781	64113
430	58907	63964
431	59046	63830
432	59200	63712
433	59343	63582
434	59485	63451
435	59649	63343
436	59810	63232
437	59980	63130
438	60121	62997
439	60273	62876
440	60390	62718
441	60510	62564
442	60663	62443
443	60808	62315
444	60942	62174
445	61078	62037
446	61256	61941
447	61412	61823
448	61594	61731
449	61749	61611
450	61890	61478
451	62041	61355
452	62192	61231
453	62369	61133
454	62508	60997
455	62644	60858
456	62798	60737
457	62943	60607
458	63054	60444
459	63181	60297
460	63302	60144
461	63466	60032
462	63592	59884
463	63743	59759
464	63884	59625
465	64036	59502
466	64148	59340
467	64281	59198
468	64528	59163
469	64651	59011
470	64775	58861
471	65015	58817
472	65320	58829
473	65465	58698
474	65643	58595
475	65871	58537
476	66043	58428
477	66179	58287
478	66296	58130
479	66454	58008
480	66614	57889
481	66822	57811
482	67010	57714
483	67164	57589
484	67353	57493
485	67518	57376
486	67665	57244
487	67812	57112
488	67933	56958
489	68098	56841
490	68206	56676
491	68344	56536
492	68496	56409
493	68648	56280
494	68796	56149
495	68956	56026
496	69123	55910
497	69337	55832
498	69500	55711
499	69635	55569
