iter	Passed	Remaining
0	253	177256
1	321	112371
2	442	102830
3	572	99700
4	658	91505
5	767	88766
6	894	88574
7	995	86126
8	1076	82688
9	1188	82015
10	1304	81694
11	1422	81539
12	1507	79641
13	1628	79797
14	1795	81977
15	1929	82470
16	2059	82736
17	2160	81862
18	2292	82154
19	2404	81742
20	2520	81507
21	2577	79435
22	2635	77588
23	2710	76350
24	2760	74544
25	2819	73092
26	2912	72603
27	2973	71358
28	3084	71379
29	3163	70658
30	3295	71113
31	3446	71952
32	3519	71133
33	3617	70865
34	3699	70283
35	3802	70132
36	3965	71048
37	4083	71131
38	4222	71558
39	4367	72059
40	4485	72099
41	4634	72610
42	4765	72810
43	4906	73148
44	5028	73191
45	5215	74146
46	5319	73908
47	5448	74012
48	5591	74289
49	5726	74439
50	5869	74687
51	6005	74835
52	6128	74807
53	6237	74618
54	6400	75064
55	6564	75486
56	6728	75897
57	6855	75886
58	7012	76189
59	7177	76555
60	7330	76789
61	7454	76712
62	7599	76843
63	7758	77097
64	7902	77202
65	8041	77250
66	8154	77037
67	8284	76997
68	8415	76961
69	8538	76850
70	8677	76874
71	8820	76932
72	8952	76892
73	9115	77110
74	9263	77197
75	9424	77382
76	9609	77746
77	9748	77734
78	9887	77726
79	10023	77678
80	10132	77432
81	10252	77268
82	10343	76893
83	10478	76840
84	10609	76764
85	10759	76819
86	10888	76719
87	11054	76879
88	11129	76408
89	11260	76323
90	11424	76453
91	11569	76460
92	11726	76535
93	11885	76621
94	11991	76367
95	12125	76289
96	12285	76370
97	12412	76246
98	12563	76266
99	12711	76269
100	12885	76422
101	12988	76150
102	13126	76081
103	13297	76207
104	13472	76341
105	13590	76156
106	13709	75976
107	13862	75985
108	13990	75857
109	14137	75828
110	14282	75786
111	14435	75785
112	14522	75440
113	14659	75355
114	14756	75063
115	14897	75000
116	15018	74835
117	15171	74830
118	15293	74669
119	15406	74464
120	15542	74374
121	15674	74261
122	15782	74037
123	15922	73961
124	16029	73735
125	16168	73654
126	16306	73571
127	16436	73449
128	16543	73229
129	16703	73237
130	16852	73198
131	16967	73012
132	17130	73027
133	17232	72789
134	17358	72649
135	17522	72665
136	17687	72686
137	17831	72618
138	17959	72483
139	18081	72325
140	18244	72329
141	18420	72383
142	18583	72383
143	18705	72222
144	18848	72142
145	18962	71955
146	19095	71835
147	19246	71785
148	19406	71766
149	19549	71679
150	19681	71556
151	19822	71466
152	19968	71391
153	20083	71204
154	20203	71037
155	20337	70919
156	20428	70654
157	20494	70303
158	20587	70049
159	20721	69935
160	20865	69855
161	20984	69688
162	21138	69641
163	21226	69375
164	21335	69177
165	21414	68888
166	21548	68774
167	21669	68618
168	21771	68405
169	21863	68162
170	22004	68072
171	22131	67939
172	22238	67743
173	22363	67605
174	22512	67536
175	22638	67402
176	22759	67251
177	22859	67038
178	22966	66846
179	23087	66697
180	23234	66623
181	23383	66552
182	23511	66423
183	23629	66266
184	23703	65986
185	23842	65885
186	23993	65821
187	24123	65697
188	24274	65631
189	24414	65532
190	24571	65481
191	24731	65434
192	24864	65318
193	24965	65117
194	25037	64841
195	25145	64660
196	25282	64553
197	25427	64467
198	25566	64366
199	25676	64191
200	25784	64012
201	25923	63910
202	26081	63855
203	26208	63722
204	26315	63542
205	26417	63351
206	26546	63223
207	26663	63069
208	26806	62976
209	27031	63073
210	27148	62916
211	27336	62926
212	27499	62873
213	27645	62783
214	27787	62684
215	27949	62628
216	28083	62509
217	28194	62337
218	28313	62186
219	28503	62188
220	28632	62059
221	28781	61971
222	28942	61908
223	29083	61801
224	29180	61603
225	29329	61513
226	29493	61455
227	29663	61409
228	29803	61299
229	29922	61146
230	30091	61094
231	30238	60999
232	30414	60958
233	30511	60763
234	30652	60652
235	30822	60600
236	30971	60505
237	31107	60384
238	31211	60203
239	31344	60076
240	31484	59965
241	31611	59827
242	31739	59691
243	31860	59543
244	32003	59434
245	32180	59389
246	32300	59238
247	32450	59143
248	32593	59035
249	32727	58909
250	32878	58815
251	33053	58761
252	33208	58673
253	33337	58536
254	33484	58433
255	33621	58312
256	33784	58234
257	33937	58141
258	34063	58000
259	34166	57820
260	34320	57726
261	34498	57673
262	34635	57550
263	34772	57427
264	34895	57281
265	35067	57214
266	35200	57084
267	35356	56992
268	35523	56916
269	35659	56790
270	35770	56625
271	35871	56444
272	36021	56341
273	36174	56241
274	36317	56127
275	36412	55937
276	36558	55827
277	36742	55774
278	36876	55645
279	37002	55503
280	37158	55406
281	37266	55239
282	37402	55112
283	37534	54980
284	37687	54878
285	37843	54779
286	37985	54661
287	38093	54494
288	38237	54378
289	38427	54329
290	38529	54153
291	38681	54047
292	38825	53931
293	38940	53774
294	39079	53651
295	39243	53561
296	39392	53452
297	39563	53370
298	39721	53271
299	39854	53139
300	39971	52986
301	40144	52905
302	40305	52810
303	40426	52660
304	40588	52565
305	40719	52430
306	40843	52285
307	41041	52234
308	41208	52143
309	41345	52015
310	41474	51876
311	41616	51753
312	41769	51644
313	41930	51545
314	42052	51397
315	42158	51230
316	42293	51098
317	42431	50971
318	42541	50809
319	42671	50672
320	42832	50571
321	42949	50418
322	43080	50283
323	43281	50227
324	43392	50067
325	43532	49941
326	43692	49838
327	43807	49683
328	43920	49526
329	44088	49432
330	44232	49310
331	44368	49179
332	44505	49049
333	44648	48925
334	44800	48813
335	44908	48651
336	45052	48528
337	45186	48395
338	45319	48260
339	45457	48131
340	45617	48025
341	45769	47910
342	45912	47786
343	46085	47693
344	46210	47550
345	46356	47428
346	46456	47260
347	46607	47143
348	46754	47022
349	46906	46906
350	47052	46784
351	47176	46640
352	47327	46523
353	47415	46343
354	47548	46209
355	47680	46072
356	47836	45960
357	47963	45819
358	48129	45716
359	48262	45581
360	48395	45446
361	48527	45309
362	48674	45187
363	48819	45064
364	48979	44953
365	49104	44811
366	49272	44708
367	49448	44610
368	49598	44490
369	49722	44346
370	49838	44196
371	49964	44054
372	50132	43950
373	50286	43832
374	50501	43768
375	50671	43663
376	50787	43513
377	50886	43347
378	51005	43199
379	51120	43048
380	51258	42917
381	51397	42786
382	51535	42654
383	51673	42522
384	51764	42353
385	51902	42221
386	52039	42089
387	52151	41935
388	52282	41798
389	52458	41697
390	52559	41537
391	52651	41369
392	52784	41233
393	52948	41122
394	53090	40994
395	53249	40878
396	53391	40749
397	53549	40633
398	53697	40508
399	53854	40390
400	53971	40243
401	54104	40107
402	54264	39991
403	54352	39822
404	54470	39676
405	54590	39530
406	54740	39407
407	54885	39280
408	55042	39162
409	55155	39012
410	55305	38888
411	55402	38727
412	55530	38588
413	55673	38460
414	55766	38297
415	55902	38164
416	56031	38026
417	56147	37879
418	56284	37746
419	56333	37555
